config,atp,radio_flux,sod,catalase,gpx,gr,dsup,mn_aox,nrf2,oh_scav,dna_repair,status
All defenses ON,131.76,28.57,4.0,2.4,0.0,0.0,6.86,0.0,0.0,0.0,0.0,optimal
No Dsup,131.76,28.57,4.0,2.4,0.0,0.0,0.0,0.0,3.43,6.86,0.0,optimal
No Mn-AOX,131.76,28.57,4.0,2.4,0.0,0.0,6.86,0.0,0.0,0.0,0.0,optimal
No Nrf2,131.76,28.57,4.0,2.4,0.0,0.0,6.86,0.0,0.0,0.0,0.0,optimal
No SOD,111.39,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal
No Catalase,131.76,28.57,4.0,0.0,0.0,0.0,6.86,2.29,0.0,0.0,0.0,optimal
No OH scavenging,131.76,28.57,4.0,0.0,0.0,0.0,6.86,2.29,0.0,0.0,0.0,optimal
Only native defenses,123.27,16.67,2.33,1.33,0.0,2.0,0.0,0.0,0.0,4.0,0.0,optimal
Only engineered,111.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal
No defenses,111.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimal
