max_radio,atp,radio_used,sod,dsup,catalase,mn_aox,dna_repair,oh_scavenged,melanin_consumed,superoxide_generated,oh_generated
0,111.39,0.0,-0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
2,111.91,2.0,0.3,0.2,0.29,0.0,0.0,0.0,0.1,0.6,0.2
5,112.68,5.0,0.75,0.5,0.6,0.0,0.0,0.0,0.25,1.5,0.5
10,113.96,10.0,1.5,1.0,1.1,0.0,0.0,0.0,0.5,3.0,1.0
15,115.24,15.0,2.25,1.5,1.6,0.0,0.0,0.0,0.75,4.5,1.5
20,116.53,20.0,3.0,2.0,2.1,0.0,0.0,0.0,1.0,6.0,2.0
25,117.81,25.0,3.75,2.5,2.6,0.0,0.0,0.0,1.25,7.5,2.5
30,117.81,25.0,3.75,2.5,2.6,0.0,0.0,0.0,1.25,7.5,2.5
40,117.81,25.0,3.75,2.5,2.6,0.0,0.0,0.0,1.25,7.5,2.5
50,117.81,25.0,3.75,2.5,2.6,0.0,0.0,0.0,1.25,7.5,2.5
