glucose,atp_normal,atp_radio,gain,pct_boost,radio_flux,sod_flux,dsup_flux
10.0,121.39,141.76,20.37,16.8,28.57,4.0,6.86
8.0,117.39,137.76,20.37,17.4,28.57,4.0,6.86
6.0,113.39,133.76,20.37,18.0,28.57,4.0,6.86
5.0,111.39,131.76,20.37,18.3,28.57,4.0,6.86
4.0,109.39,129.76,20.37,18.6,28.57,4.0,6.86
3.0,96.0,127.76,31.76,33.1,28.57,4.0,6.86
2.0,64.0,125.76,61.76,96.5,28.57,4.0,6.86
1.0,32.0,103.43,71.43,223.2,28.57,4.0,6.86
0.5,16.0,87.43,71.43,446.4,28.57,4.0,6.86
0.0,0.0,71.43,71.43,100.0,28.57,4.0,6.86
